Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Pfr_ID
1,Cam Newton,2011,2013,1-1,CAR,NFL,48,48,3,2,0,51,NewtCa00
2,Russell Wilson,2012,2014,3-75,SEA,NFL,48,48,3,2,0,51,WilsRu00
3,Patrick Willis,2007,2009,1-11,SFO,NFL,48,48,3,3,2,49,WillPa98
4,Patrick Peterson,2011,2013,1-5,CRD,NFL,48,48,3,3,2,48,PetePa00
5,Aaron Donald,2014,2016,1-13,RAM,NFL,48,44,3,3,2,46,DonaAa00
6,Brian Urlacher*,2000,2002,1-9,CHI,NFL,48,46,3,3,2,45,UrlaBr00
7,J.J. Watt,2011,2013,1-11,HTX,NFL,48,48,3,2,2,45,WattJ.00
8,Andrew Luck,2012,2014,1-1,CLT,NFL,48,48,3,3,0,44,LuckAn00
9,LaDainian Tomlinson*,2001,2003,1-5,SDG,NFL,48,48,3,1,0,44,TomlLa00
10,Chris Johnson,2008,2010,1-24,OTI,NFL,47,46,3,3,1,43,JohnCh04
11,Luke Kuechly,2012,2014,1-9,CAR,NFL,48,48,3,2,2,42,KuecLu00
12,Richard Sherman,2011,2013,5-154,SEA,NFL,48,42,3,1,2,42,SherRi00
13,Jamal Lewis,2000,2003,1-5,RAV,NFL,48,44,3,1,1,41,LewiJa00
14,Clay Matthews,2009,2011,1-26,GNB,NFL,46,43,3,3,1,40,MattCl99
15,Carson Palmer,2004,2006,1-1,CIN,NFL,45,45,3,2,0,40,PalmCa00
16,Adrian Peterson,2007,2009,1-7,MIN,NFL,46,39,3,3,2,40,PeteAd01
17,Matt Ryan,2008,2010,1-3,ATL,NFL,46,46,3,1,0,40,RyanMa00
18,Jon Beason,2007,2009,1-25,CAR,NFL,48,48,3,2,1,39,BeasJo99
19,Kris Jenkins,2001,2003,2-44,CAR,NFL,48,43,3,2,2,39,JenkKr00
20,Clinton Portis,2002,2004,2-51,TOT,NFL,44,40,3,1,0,39,PortCl00
21,Darrelle Revis,2007,2009,1-14,NYJ,NFL,48,48,3,2,1,39,ReviDa99
22,Aaron Brooks,2000,2002,4-131,NOR,NFL,40,37,3,0,0,38,BrooAa00
23,Jeff Garcia,2000,2001,,SFO,NFL,32,32,2,2,0,38,GarcJe00
24,Lofa Tatupu,2005,2007,2-45,SEA,NFL,48,48,3,3,1,38,TatuLo99
25,Andy Dalton,2011,2013,2-35,CIN,NFL,48,48,3,1,0,37,DaltAn00
26,Khalil Mack,2014,2016,1-5,RAI,NFL,48,48,3,2,2,37,MackKh00
27,Ray Rice,2008,2010,2-55,RAV,NFL,45,33,3,1,0,37,RiceRa00
28,Joseph Addai,2006,2008,1-30,CLT,NFL,43,27,3,1,0,36,AddaJo00
29,Joe Flacco,2008,2010,1-18,RAV,NFL,48,48,3,0,0,36,FlacJo00
30,Arian Foster,2009,2011,,HTX,NFL,35,27,3,2,1,36,FostAr00
31,A.J. Green,2011,2013,1-4,CIN,NFL,47,47,3,3,0,36,GreeA.00
32,Maurice Jones-Drew,2006,2008,2-60,JAX,NFL,47,4,3,0,0,36,DrewMa00
33,Jake Long,2008,2010,1-1,MIA,NFL,48,48,3,3,1,36,LongJa20
34,Logan Mankins,2005,2007,1-32,NWE,NFL,48,48,3,1,0,36,MankLo20
35,Maurkice Pouncey,2010,2012,1-18,PIT,NFL,45,45,3,3,1,36,PounMa20
36,Muhammad Wilkerson,2011,2013,1-30,NYJ,NFL,48,47,3,0,0,36,WilkMu00
37,Lance Briggs,2003,2005,3-68,CHI,NFL,48,45,3,1,1,35,BrigLa99
38,Torry Holt,2000,2001,1-6,RAM,NFL,32,29,2,2,0,35,HoltTo00
39,Zack Martin,2014,2016,1-16,DAL,NFL,48,48,3,3,2,35,MartZa00
40,C.J. Mosley,2014,2016,1-17,RAV,NFL,46,46,3,2,0,35,MoslC.00
41,Jameis Winston,2015,2017,1-1,TAM,NFL,45,45,3,1,0,35,WinsJa00
42,Geno Atkins,2010,2012,4-120,CIN,NFL,48,32,3,2,1,34,AtkiGe99
43,Odell Beckham,2014,2016,1-12,NYG,NFL,43,42,3,3,0,34,BeckOd00
44,NaVorro Bowman,2010,2012,3-91,SFO,NFL,48,33,3,1,2,34,BowmNa99
45,Ryan Clady,2008,2010,1-12,DEN,NFL,48,48,3,1,1,34,CladRy20
46,Tommie Harris,2004,2006,1-14,CHI,NFL,44,43,3,2,0,34,HarrTo99
47,DeSean Jackson,2008,2010,2-49,PHI,NFL,45,44,3,2,0,34,JackDe00
48,Marcus Mariota,2015,2017,1-2,OTI,NFL,42,42,3,0,0,34,MariMa01
49,Deuce McAllister,2001,2003,1-23,NOR,NFL,47,35,3,2,0,34,McAlDe00
50,Von Miller,2011,2013,1-2,DEN,NFL,40,40,3,2,1,34,MillVo00
51,Ryan Tannehill,2012,2014,1-8,MIA,NFL,48,48,3,0,0,34,TannRy00
52,Bobby Wagner,2012,2014,2-47,SEA,NFL,41,40,3,1,1,34,WagnBo00
53,Domanick Williams,2003,2005,4-101,HTX,NFL,40,36,3,0,0,34,DaviDo01
54,Matt Forte,2008,2010,2-44,CHI,NFL,48,48,3,0,0,33,FortMa00
55,Robert Griffin,2012,2014,1-2,WAS,NFL,37,35,3,1,0,33,GrifRo01
56,Steven Jackson,2004,2006,1-24,RAM,NFL,45,34,3,1,0,33,JackSt00
57,Eddie Lacy,2013,2015,2-61,GNB,NFL,46,43,3,1,0,33,LacyEd00
58,Carl Nicks,2008,2010,5-164,NOR,NFL,48,45,3,1,0,33,NickCa20
59,Ed Reed,2002,2004,1-24,RAV,NFL,48,47,3,2,1,33,ReedEd00
60,Ben Roethlisberger,2004,2006,1-11,PIT,NFL,41,40,3,0,0,33,RoetBe00
61,Ndamukong Suh,2010,2012,1-2,DET,NFL,46,46,3,2,1,33,SuhxNd99
62,DeMarcus Ware,2005,2007,1-11,DAL,NFL,48,48,3,2,1,33,WareDe99
63,Daunte Culpepper,2000,2001,1-11,MIN,NFL,27,27,2,1,0,32,CulpDa00
64,David Harris,2007,2009,2-47,NYJ,NFL,43,36,3,0,0,32,HarrDa99
65,Percy Harvin,2009,2011,1-22,MIN,NFL,45,35,3,1,0,32,HarvPe00
66,Kyle Long,2013,2015,1-20,CHI,NFL,47,47,3,3,0,32,LongKy00
67,LeSean McCoy,2009,2011,2-53,PHI,NFL,46,32,3,1,1,32,McCoLe01
68,Shawne Merriman,2005,2007,1-12,SDG,NFL,42,37,3,3,1,32,MerrSh99
69,Richard Seymour,2001,2003,1-6,NWE,NFL,44,40,3,2,1,32,SeymRi00
70,Earl Thomas,2010,2012,1-14,SEA,NFL,48,48,3,2,1,32,ThomEa99
71,LaVar Arrington,2000,2002,1-2,WAS,NFL,46,41,3,2,0,31,ArriLa00
72,Kendrell Bell,2001,2003,2-39,PIT,NFL,44,44,3,1,0,31,BellKe20
73,Mike Brown,2000,2002,2-39,CHI,NFL,48,47,3,0,1,31,BrowMi99
74,Marc Bulger,2002,2004,6-168,RAM,NFL,36,36,3,1,0,31,BulgMa00
75,Todd Gurley,2015,2017,1-10,RAM,NFL,44,43,3,2,1,31,GurlTo01
76,Marcus McNeill,2006,2008,2-50,SDG,NFL,46,46,3,2,0,31,McNeMa20
77,Haloti Ngata,2006,2008,1-12,RAV,NFL,48,48,3,0,0,31,NgatHa20
78,Sheldon Richardson,2013,2015,1-13,NYJ,NFL,43,41,3,1,0,31,RichSh00
79,Daryl Washington,2010,2012,2-47,CRD,NFL,47,41,3,1,0,31,WashDa99
80,Le'Veon Bell,2013,2015,2-48,PIT,NFL,35,35,3,1,1,30,BellLe00
81,Reggie Bush,2006,2008,1-2,NOR,NFL,38,27,3,0,0,30,BushRe00
82,Derek Carr,2014,2016,2-36,RAI,NFL,47,47,3,2,0,30,CarrDe02
