Player,Pfr_ID,Pos,From,To,Link,Text
Isaako Aaitui,AaitIs00,NT,2013,2014,/players/A/AaitIs00.htm,Isaako Aaitui (NT) 2013-2014
Joe Abbey,AbbeJo20,E,1948,1949,/players/A/AbbeJo20.htm,Joe Abbey (E) 1948-1949
Fay Abbott,AbboFa20,BB-FB-TB-QB-WB-E,1921,1929,/players/A/AbboFa20.htm,Fay Abbott (BB-FB-TB-QB-WB-E) 1921-1929
Vince Abbott,abbotvin01,K,1987,1988,/players/A/abbotvin01.htm,Vince Abbott (K) 1987-1988
Jared Abbrederis,AbbrJa00,WR,2014,2017,/players/A/AbbrJa00.htm,Jared Abbrederis (WR) 2014-2017
Duke Abbruzzi,AbbrDu20,HB-DB,1946,1946,/players/A/AbbrDu20.htm,Duke Abbruzzi (HB-DB) 1946-1946
Mehdi Abdesmad,AbdeMe00,DE,2016,2016,/players/A/AbdeMe00.htm,Mehdi Abdesmad (DE) 2016-2016
Karim Abdul-Jabbar,AbduKa00,RB,1996,2000,/players/A/AbduKa00.htm,Karim Abdul-Jabbar (RB) 1996-2000
Isa Abdul-Quddus,AbduIs00,S,2011,2016,/players/A/AbduIs00.htm,Isa Abdul-Quddus (S) 2011-2016
Ameer Abdullah,AbduAm00,RB,2015,2017,/players/A/AbduAm00.htm,Ameer Abdullah (RB) 2015-2017
Hamza Abdullah,AbduHa20,DB,2005,2011,/players/A/AbduHa20.htm,Hamza Abdullah (DB) 2005-2011
Husain Abdullah,AbduHu99,DB,2008,2015,/players/A/AbduHu99.htm,Husain Abdullah (DB) 2008-2015
Khalid Abdullah,AbduKh20,LB,2003,2003,/players/A/AbduKh20.htm,Khalid Abdullah (LB) 2003-2003
Rabih Abdullah,AbduRa00,RB,1999,2004,/players/A/AbduRa00.htm,Rabih Abdullah (RB) 1999-2004
Rahim Abdullah,AbduRa20,LB,1999,2000,/players/A/AbduRa20.htm,Rahim Abdullah (LB) 1999-2000
Fred Abel,AbelFr20,BB-FB,1926,1926,/players/A/AbelFr20.htm,Fred Abel (BB-FB) 1926-1926
Bud Abell,AbelBu20,LB,1966,1968,/players/A/AbelBu20.htm,Bud Abell (LB) 1966-1968
Walter Abercrombie,AberWa00,RB,1982,1988,/players/A/AberWa00.htm,Walter Abercrombie (RB) 1982-1988
Cliff Aberson,AberCl20,TB-DB,1946,1946,/players/A/AberCl20.htm,Cliff Aberson (TB-DB) 1946-1946
Victor Abiamiri,AbiaVi99,DE,2007,2009,/players/A/AbiaVi99.htm,Victor Abiamiri (DE) 2007-2009
Oday Aboushi,AbouOd00,OT,2014,2017,/players/A/AbouOd00.htm,Oday Aboushi (OT) 2014-2017
Clifton Abraham,AbraCl20,DB,1995,1997,/players/A/AbraCl20.htm,Clifton Abraham (DB) 1995-1997
Donnie Abraham,AbraDo00,DB,1996,2004,/players/A/AbraDo00.htm,Donnie Abraham (DB) 1996-2004
John Abraham,AbraJo00,DE,2000,2014,/players/A/AbraJo00.htm,John Abraham (DE) 2000-2014
Robert Abraham,AbraRo20,LB,1982,1987,/players/A/AbraRo20.htm,Robert Abraham (LB) 1982-1987
Danny Abramowicz,AbraDa00,E,1967,1974,/players/A/AbraDa00.htm,Danny Abramowicz (E) 1967-1974
Sid Abramowitz,AbraSi20,T,1983,1987,/players/A/AbraSi20.htm,Sid Abramowitz (T) 1983-1987
Bobby Abrams,AbraBo20,LB,1990,1995,/players/A/AbraBo20.htm,Bobby Abrams (LB) 1990-1995
Kevin Abrams,AbraKe20,DB,1997,1999,/players/A/AbraKe20.htm,Kevin Abrams (DB) 1997-1999
Nate Abrams,AbraNa20,E,1921,1921,/players/A/AbraNa20.htm,Nate Abrams (E) 1921-1921
George Abramson,AbraGe20,G-T,1925,1925,/players/A/AbraGe20.htm,George Abramson (G-T) 1925-1925
Dick Abrell,AbreDi20,BB-WB,1920,1920,/players/A/AbreDi20.htm,Dick Abrell (BB-WB) 1920-1920
Ray Abruzzese,AbruRa20,B,1962,1966,/players/A/AbruRa20.htm,Ray Abruzzese (B) 1962-1966
Frank Abruzzino,AbruFr20,BB-LB-C-G-E-WB-DB,1931,1933,/players/A/AbruFr20.htm,Frank Abruzzino (BB-LB-C-G-E-WB-DB) 1931-1933
Dick Absher,AbshDi20,LB-K,1967,1972,/players/A/AbshDi20.htm,Dick Absher (LB-K) 1967-1972
Steve Ache,AcheSt20,LB,1987,1987,/players/A/AcheSt20.htm,Steve Ache (LB) 1987-1987
George Achica,AchiGe20,DT,1985,1985,/players/A/AchiGe20.htm,George Achica (DT) 1985-1985
Sneeze Achiu,AchiSn20,WB-TB-E-BB,1927,1928,/players/A/AchiSn20.htm,Sneeze Achiu (WB-TB-E-BB) 1927-1928
Emmanuel Acho,AchoEm00,OLB,2012,2014,/players/A/AchoEm00.htm,Emmanuel Acho (OLB) 2012-2014
Sam Acho,AchoSa00,OLB,2011,2017,/players/A/AchoSa00.htm,Sam Acho (OLB) 2011-2017
Bill Acker,AckeBi20,NT,1980,1987,/players/A/AckeBi20.htm,Bill Acker (NT) 1980-1987
Kenneth Acker,AckeKe00,CB,2014,2017,/players/A/AckeKe00.htm,Kenneth Acker (CB) 2014-2017
Rick Ackerman,AckeRi20,NT-DT,1982,1987,/players/A/AckeRi20.htm,Rick Ackerman (NT-DT) 1982-1987
Tom Ackerman,AckeTo20,G-C,1996,2003,/players/A/AckeTo20.htm,Tom Ackerman (G-C) 1996-2003
Ron Acks,AcksRo20,LB,1968,1976,/players/A/AcksRo20.htm,Ron Acks (LB) 1968-1976
Fred Acorn,AcorFr20,DB,1984,1984,/players/A/AcorFr20.htm,Fred Acorn (DB) 1984-1984
Ed Adamchik,AdamEd20,C,1965,1965,/players/A/AdamEd20.htm,Ed Adamchik (C) 1965-1965
Mike Adamle,AdamMi01,RB,1971,1976,/players/A/AdamMi01.htm,Mike Adamle (RB) 1971-1976
Tony Adamle,AdamTo02,LB-FB,1947,1954,/players/A/AdamTo02.htm,Tony Adamle (LB-FB) 1947-1954
Aaron Adams,AdamAa00,T,2014,2014,/players/A/AdamAa00.htm,Aaron Adams (T) 2014-2014
Andrew Adams,AdamAn01,S,2016,2017,/players/A/AdamAn01.htm,Andrew Adams (S) 2016-2017
Anthony Adams,AdamAn20,DT-NT,2003,2011,/players/A/AdamAn20.htm,Anthony Adams (DT-NT) 2003-2011
Bill Adams,AdamBi20,G-T,1972,1978,/players/A/AdamBi20.htm,Bill Adams (G-T) 1972-1978
Blue Adams,AdamBl20,DB,2003,2007,/players/A/AdamBl20.htm,Blue Adams (DB) 2003-2007
Bob Adams,AdamBo00,TE-T,1969,1976,/players/A/AdamBo00.htm,Bob Adams (TE-T) 1969-1976
Brent Adams,AdamBr20,T,1975,1977,/players/A/AdamBr20.htm,Brent Adams (T) 1975-1977
Charlie Adams,AdamCh00,WR,2003,2005,/players/A/AdamCh00.htm,Charlie Adams (WR) 2003-2005
Chet Adams,AdamCh20,T-E-DT,1939,1950,/players/A/AdamCh20.htm,Chet Adams (T-E-DT) 1939-1950
Curtis Adams,AdamCu00,RB,1985,1988,/players/A/AdamCu00.htm,Curtis Adams (RB) 1985-1988
